Company,Price,Change,% Change,P/E,Volume,YTDchange,Symbol,url
Ralph Lauren Corp,83.78,-0.06,-0.07%,NM,1.6M,-7.24%,RL,http://money.cnn.com/quote/quote.html?symb=RL
Range Resources Corp,16.81,-0.11,-0.65%,129.3,6.5M,-51.08%,RRC,http://money.cnn.com/quote/quote.html?symb=RRC
Raymond James Financial Inc,79.35,-0.5,-0.63%,20.8,520.9K,+14.55%,RJF,http://money.cnn.com/quote/quote.html?symb=RJF
Raytheon,179.35,1.73,+0.97%,24.8,1.9M,+26.30%,RTN,http://money.cnn.com/quote/quote.html?symb=RTN
Realty Income Corp,56.48,-0.54,-0.95%,48.3,1.3M,-1.74%,O,http://money.cnn.com/quote/quote.html?symb=O
Red Hat Inc,98.34,2.39,+2.49%,67.4,1.7M,+41.09%,RHT,http://money.cnn.com/quote/quote.html?symb=RHT
Regency Centers Corp,65.11,-1.3,-1.96%,81.7,763.9K,-5.57%,REG,http://money.cnn.com/quote/quote.html?symb=REG
Regeneron Pharmaceuticals,466.59,6.51,+1.41%,46.8,496.0K,+27.11%,REGN,http://money.cnn.com/quote/quote.html?symb=REGN
Regions Financial Corp,14.07,-0.23,-1.61%,14.8,18.7M,-2.02%,RF,http://money.cnn.com/quote/quote.html?symb=RF
Republic Services Inc,63.98,-0.1,-0.16%,32.8,634.2K,+12.15%,RSG,http://money.cnn.com/quote/quote.html?symb=RSG
ResMed Inc,72.56,-0.06,-0.08%,30.2,427.2K,+16.94%,RMD,http://money.cnn.com/quote/quote.html?symb=RMD
Robert Half International Inc,43.41,-0.01,-0.02%,16.8,493.2K,-11.01%,RHI,http://money.cnn.com/quote/quote.html?symb=RHI
Rockwell Automation Inc,161.66,-0.55,-0.34%,26.1,680.0K,+20.28%,ROK,http://money.cnn.com/quote/quote.html?symb=ROK
Rockwell Collins Inc,124.58,-1.17,-0.93%,24.6,2.3M,+34.30%,COL,http://money.cnn.com/quote/quote.html?symb=COL
Roper Technologies Inc,229.54,0.38,+0.17%,34.4,388.2K,+25.38%,ROP,http://money.cnn.com/quote/quote.html?symb=ROP
Ross Stores Inc,55.56,0.76,+1.39%,19.0,2.6M,-15.30%,ROST,http://money.cnn.com/quote/quote.html?symb=ROST
Royal Caribbean Cruises Ltd,117.22,-0.09,-0.08%,16.5,1.8M,+42.88%,RCL,http://money.cnn.com/quote/quote.html?symb=RCL
S&P Global Inc,148.41,0.07,+0.05%,17.4,951.3K,+38.00%,SPGI,http://money.cnn.com/quote/quote.html?symb=SPGI
Salesforce.com,88.29,0.66,+0.75%,464.7,2.9M,+28.97%,CRM,http://money.cnn.com/quote/quote.html?symb=CRM
SCANA Corp,60.69,-1.32,-2.13%,14.3,1.7M,-17.18%,SCG,http://money.cnn.com/quote/quote.html?symb=SCG
Schlumberger,63.83,-0.57,-0.89%,375.5,4.6M,-23.97%,SLB,http://money.cnn.com/quote/quote.html?symb=SLB
Scripps Networks Interactive Inc,86.66,-0.17,-0.20%,17.9,2.2M,+21.42%,SNI,http://money.cnn.com/quote/quote.html?symb=SNI
Seagate Technology PLC,32.99,0.74,+2.35%,13.6,5.6M,-13.57%,STX,http://money.cnn.com/quote/quote.html?symb=STX
Sealed Air Corp,44.18,0.15,+0.34%,24.3,2.3M,-2.56%,SEE,http://money.cnn.com/quote/quote.html?symb=SEE
Sempra Energy,115.61,-0.45,-0.39%,17.1,518.3K,+14.87%,SRE,http://money.cnn.com/quote/quote.html?symb=SRE
